#Classification	flua_perc
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria|x__Boreoeutheria|x__Euarchontoglires|o__Primates|x__Haplorrhini|x__Simiiformes|x__Catarrhini|x__Hominoidea|f__Hominidae|x__Homininae|g__Homo	0.89
x__cellular_organisms|x__Eukaryota|x__Opisthokonta|k__Metazoa|x__Eumetazoa|x__Bilateria|x__Deuterostomia|p__Chordata|x__Craniata|x__Vertebrata|x__Gnathostomata|x__Teleostomi|x__Euteleostomi|x__Sarcopterygii|x__Dipnotetrapodomorpha|x__Tetrapoda|x__Amniota|c__Mammalia|x__Theria|x__Eutheria|x__Boreoeutheria|x__Euarchontoglires|o__Primates|x__Haplorrhini|x__Simiiformes|x__Catarrhini|x__Hominoidea|f__Hominidae|x__Homininae|g__Homo|s__Homo_sapiens	0.89
x__cellular_organisms|x__Bacteria	0.76
x__cellular_organisms|x__Bacteria|k__Pseudomonadati	0.73
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|p__Pseudomonadota	0.73
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria	0.73
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales	0.73
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	0.73
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter	0.73
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_koseri	0.53
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|x__Citrobacter_freundii_complex	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|x__Citrobacter_freundii_complex|s__Citrobacter_braakii	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|x__unclassified_Acidovorax	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax|x__unclassified_Acidovorax|s__Acidovorax_sp._DW039	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|x__FCB_group	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|x__FCB_group|x__Bacteroidota/Chlorobiota_group	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|x__FCB_group|x__Bacteroidota/Chlorobiota_group|p__Bacteroidota	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|x__FCB_group|x__Bacteroidota/Chlorobiota_group|p__Bacteroidota|c__Bacteroidia	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|x__FCB_group|x__Bacteroidota/Chlorobiota_group|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|x__FCB_group|x__Bacteroidota/Chlorobiota_group|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|x__FCB_group|x__Bacteroidota/Chlorobiota_group|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Acetobacteroides	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|x__FCB_group|x__Bacteroidota/Chlorobiota_group|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Acetobacteroides|x__environmental_samples	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|x__FCB_group|x__Bacteroidota/Chlorobiota_group|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Acetobacteroides|x__environmental_samples|s__uncultured_Acetobacteroides_sp.	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|x__FCB_group|x__Bacteroidota/Chlorobiota_group|p__Bacteroidota|c__Cytophagia	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|x__FCB_group|x__Bacteroidota/Chlorobiota_group|p__Bacteroidota|c__Cytophagia|o__Cytophagales	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|x__FCB_group|x__Bacteroidota/Chlorobiota_group|p__Bacteroidota|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|x__FCB_group|x__Bacteroidota/Chlorobiota_group|p__Bacteroidota|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Echinicola	0.0
x__cellular_organisms|x__Bacteria|k__Pseudomonadati|x__FCB_group|x__Bacteroidota/Chlorobiota_group|p__Bacteroidota|c__Cytophagia|o__Cytophagales|f__Cyclobacteriaceae|g__Echinicola|s__Echinicola_rosea	0.0
x__cellular_organisms|x__Bacteria|k__Bacillati	0.03
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota	0.03
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Clostridia	0.03
x__cellular_organisms|x__Bacteria|k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales	0.03
